googl,,,,aapl,,,,adbe,,,,Meta,,,,msft,,,,5000       SIMULATIONS      RETURNS        OF      THE       STOCKS,,,,
Date,Price,returns,,Date,Price,returns,,Date,Price,returns,,Date,Price,returns,,Date,Price,returns,,GOOGL,AAPL,ADBE,META,MSFT
,,,,,,,,,,,,,,,,,,,,0.615377706296003%,3.86571021839178%,0.229451990136195%,3.01509606745307%,0.410081819382645%
,,,,,,,,,,,,,,,,,,,,1.13114331517846%,0.724969877205854%,1.28811971076919%,-0.323867056290038%,-0.0133618905623241%
,,,,,,,,,,,,,,,,,,,,0.812985641387811%,-0.973827934059851%,5.24542895014524%,-1.72337721245732%,-0.044610737728554%
,,,,,,,,,,,,,,,,,,,,0.313508316969677%,4.0725034056967%,-0.0221128892704159%,0.719806007473477%,-0.344598721980913%
,,,,,,,,,,,,,,,,,,,,3.6951049434161%,0.76112565350219%,-1.65454821201197%,-1.91482130996481%,0.998401496903454%
,,,,,,,,,,,,,,,,,,,,-1.89989651259615%,-1.56430815530669%,-0.186721663309975%,1.15272125951433%,1.36720272275345%
,,,,,,,,,,,,,,,,,,,,0.0854856861626935%,-1.02291580254784%,-0.95213138620802%,-2.35042659112422%,-0.328093859663723%
,,,,,,,,,,,,,,,,,,,,1.29771844713629%,0.184836665508041%,1.04941811146549%,1.36016287392339%,1.32560286285514%
,,,,,,,,,,,,,,,,,,,,2.48227101303897%,-2.68978486302803%,0.66677763478139%,2.20434561186277%,1.14567374582611%
,,,,,,,,,,,,,,,,,,,,-0.608702252670398%,2.20249888958164%,-0.955183040060899%,-3.50362323154181%,1.57613920135099%
,,,,,,,,,,,,,,,,,,,,-0.603260336959159%,-0.711104800047107%,4.11913626001208%,-1.74227675459246%,0.916876388386634%
,,,,,,,,,,,,,,,,,,,,2.22899119806759%,-0.916946866047475%,0.183656944431492%,-3.47226306932582%,0.381612620277007%
,,,,,,,,,,,,,,,,,,,,-0.462442333451585%,-0.427250741205144%,-1.6661559384286%,0.600768989963713%,-0.0278086124612649%
,,,,,,,,,,,,,,,,,,,,0.0574732032247123%,0.183752856120779%,0.900838354559489%,0.0920884845709531%,-0.129290757456119%
,,,,,,,,,,,,,,,,,,,,1.37560511847506%,-1.28577211190072%,-0.909332808169847%,-3.2931521290111%,0.907806957942234%
,,,,,,,,,,,,,,,,,,,,0.369291917668418%,0.836429330980727%,-0.816685873117232%,-1.93150791621383%,1.88211605646448%
,,,,,,,,,,,,,,,,,,,,0.590524975637742%,-0.517887742713467%,-2.22032068695448%,-2.76943452760049%,0.011995088678396%
,,,,,,,,,,,,,,,,,,,,-0.491698762377131%,2.96229473866915%,-1.02553333210901%,-2.79354836273306%,-1.22756694860771%
,,,,,,,,,,,,,,,,,,,,-0.113997829091257%,2.27045592427548%,-2.62364023208469%,-4.86128826992692%,0.105710313418282%
,,,,,,,,,,,,,,,,,,,,0.37958360822822%,1.39824503699386%,0.969918030849189%,-1.87377949434659%,-2.0801381733368%
,,,,,,,,,,,,,,,,,,,,-1.95150924657848%,1.7072035767786%,0.347223488782347%,-3.25174570325281%,0.490299859218828%
,,,,,,,,,,,,,,,,,,,,0.567344444781937%,-1.99053103752527%,-3.53178342366827%,-0.0906322848371267%,0.596512846992304%
,,,,,,,,,,,,,,,,,,,,1.61079530710573%,-2.72925547973043%,0.266094503379829%,0.206409142644726%,-0.798652245107752%
,,,,,,,,,,,,,,,,,,,,1.71407685778622%,-1.76135740865399%,-0.520725005521271%,-0.760493150011299%,-0.441387093640805%
,,,,,,,,,,,,,,,,,,,,-2.19972939155798%,-0.0911983146528248%,1.00666814681546%,0.961190361733791%,-0.470700748990416%
,,,,,,,,,,,,,,,,,,,,2.29302604527599%,0.20718572421865%,0.608061125532012%,1.13190123572167%,-1.97552023547514%
,,,,,,,,,,,,,,,,,,,,2.27847246895814%,-1.23515785697585%,-2.98822733071887%,-2.08937866078303%,1.37749784559206%
,,,,,,,,,,,,,,,,,,,,-2.3074174554308%,-0.0330036873779416%,3.63944997828535%,1.6299141128871%,0.692975771726134%
,,,,,,,,,,,,,,,,,,,,-0.209989516336142%,2.07780489085789%,-0.489128508028953%,1.91609599882659%,0.4462853289063%
,,,,,,,,,,,,,,,,,,,,-0.3567263335586%,-0.455142646106967%,0.845650019225072%,-2.85285969785983%,-0.550014873486686%
,,,,,,,,,,,,,,,,,,,,-2.2030438461633%,-1.32100037987575%,-0.385428178045848%,2.62687855557883%,-0.679957417288927%
,,,,,,,,,,,,,,,,,,,,0.56405275019332%,1.82616401715066%,4.45472158785051%,-2.22348537957969%,1.35291719035483%
,,,,,,,,,,,,,,,,,,,,-2.4364392059097%,0.983912323150378%,-1.22815551487566%,1.40626112614749%,-1.48279904764003%
,,,,,,,,,,,,,,,,,,,,-2.74283493577163%,1.26077057585698%,-3.54352796977567%,-4.3578356174281%,1.15806894854853%
,,,,,,,,,,,,,,,,,,,,-2.21857393363354%,-1.04605900398601%,6.75196879579709%,0.587276170020167%,-0.0600344674781607%
,,,,,,,,,,,,,,,,,,,,-1.81348783609135%,-2.03387253421252%,3.01112869871537%,-4.67244255880642%,1.12416891142043%
